						y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72
YORF	NAME	PROCESS	FUNCTION	MICROARRAY_CLASSIFICATION	TRADITIONAL_CLASSIFICATION	0_min	7_min	14_min	21_min	28_min	35_min	42_min	49_min	56_min	63_min	70_min	77_min	84_min	91_min	98_min	105_min	112_min	119_min
YAL002W	VPS8	biological_process_unknown_	molecular_function_unknown_	None	None	0.705	0.511	0.482	0.562	0.654	0.656	0.657	0.798	0.485	0.729	0.679	1.006	0.546	1.008	0.83	0.947	0.684	Null
YAL003W	EFB1	protein_synthesis_elongation_	translation_elongation_factor_	None	None	0.868	0.49	0.791	0.71	0.67	0.631	0.904	1.024	0.799	1.7	0.726	1.384	0.9	1.555	1.077	1.154	1.049	1.096
YAL004W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.063	0.593	0.757	1.002	0.934	1.149	1.022	1.62	0.861	1.247	0.83	1.082	0.702	1.508	1.043	1.004	0.895	0.964
YAL005C	SSA1	protein_folding*_	adenosinetriphosphatase*_	None	None	0.926	0.574	0.533	0.848	0.933	0.89	1.049	Null	0.799	1.583	0.607	1.357	0.702	1.327	0.82	1.243	0.989	1.002
YAL007C	ERP2	biological_process_unknown_	molecular_function_unknown_	None	None	0.667	0.538	0.695	1.111	0.889	1.355	0.99	1.234	0.655	0.868	0.682	1.348	0.929	1.691	1.192	0.937	1.097	0.812
YAL008W	FUN14	biological_process_unknown_	molecular_function_unknown_	None	None	0.705	0.582	0.61	0.824	0.787	0.771	0.82	Null	0.461	1.068	0.433	1.099	0.696	1.229	0.621	0.859	0.675	0.743
YAL009W	SPO7	meiosis_	molecular_function_unknown_	None	None	0.743	0.543	0.714	0.677	0.581	1.21	0.843	0.847	0.65	0.807	0.553	1.252	0.757	1.473	0.685	0.958	1.218	0.766
YAL010C	MDM10	mitochondrion_inheritance*_	molecular_function_unknown_	None	None	0.682	0.548	0.625	0.658	0.518	0.634	0.708	0.919	0.567	1.077	0.502	1.176	0.756	1.123	0.507	0.847	0.912	0.71
YAL011W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.624	0.676	0.399	0.62	Null	0.695	0.745	0.85	0.599	0.867	0.712	1.405	0.649	1.066	0.916	1.009	0.809	Null
