CLID	SYMBOL	NAME	MICROARRAY_CLASSIFICATION	TRADITIONAL_CLASSIFICATION	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1048997	None	None	None	None	0.00266	-0.00558	-0.00596	-0.00396	-0.01007	0.0063	-0.00384	0.0014	0.00029	-0.00771	-0.01414	-0.00365	-0.00302	0.01133	0.01205	-0.00074	0.01093	-0.00611
1239840	MGC19595_	hypothetical_gene_MGC19595_	None	None	0.00944	-0.00684	-0.0075	-0.0045	0.0011	-0.00223	0.00216	0.00796	0.00085	-0.01362	-0.00622	-0.0017	0.00429	-0.01599	-0.00317	-0.00974	-0.0067	-0.01058
1240431	KIAA1321_	KIAA1321_protein_	None	None	-0.00586	0.01024	-0.00637	-0.01256	-0.00144	0.00476	0.0064	0.00092	-0.0178	-0.01205	0.00133	0.00538	-0.00179	0.00305	-0.01917	0.00975	0.0152	-0.00717
1276487	None	"ESTs,_Highly_similar_to_hypothetical_protein_FLJ20534_[Homo_sapiens]_[H.sapiens]_"	None	None	0.00443	0.00769	-0.0164	0.00913	-0.00522	-0.00425	-0.0186	0.01564	-0.01378	-0.01705	-0.00282	0.00564	-0.00101	0.01111	0.00427	-0.01212	0.00563	-0.00868
1276665	LOC51236_	hypothetical_protein_LOC51236_	None	None	-0.00908	-0.0079	-0.01308	-0.00806	0.00209	-0.0087	0.00888	0.0088	-0.0073	0.00049	-0.01198	-0.00328	-0.003	-0.00099	-0.0184	-0.01405	0.00428	-0.00818
1291658	None	Homo_sapiens_mRNA;_cDNA_DKFZp547A1010_(from_clone_DKFZp547A1010)_	None	None	0.01411	-0.00148	-0.0016	0.00732	-0.00969	0.00235	0.01314	0.00953	-0.00132	-0.00822	-0.00113	0.01207	-0.00454	0.01342	0.00133	-0.00471	0.01839	-0.00579
1291956	None	"ESTs,_Highly_similar_to_G02277_creatine_transporter_-_human_(fragment)_[H.sapiens]_"	None	None	-0.00252	-0.00964	0.0014	-0.00565	0.00762	-0.00501	0.00206	-0.00927	0.00582	-0.00816	0.00431	0.014	0.00149	-0.00372	-0.00739	-0.00814	0.00714	-0.00784
1292829	C11orf5_	chromosome_11_open_reading_frame_5_	G2	None	0.02215	-0.00265	0.01111	0.01057	-0.00182	0.00129	-0.00853	-0.01226	0.00416	0.00627	-0.01882	-0.00378	-0.01333	-0.00717	-0.01454	-0.00003	-0.00366	-0.01392
1292878	FLJ2None64None_	hypothetical_protein_FLJ20640_	None	None	-0.01778	-0.0125	-0.0171	-0.00717	0.00603	0.0059	0.00442	0.01995	-0.00849	-0.00581	0.00807	0.0203	0.00114	-0.00648	0.00077	-0.01692	-0.00692	-0.00519
1293029	None	"Homo_sapiens_cDNA_FLJ40088_fis,_clone_TESTI2003127,_moderately_similar_to_TUMOR_NECROSIS_FACTOR,_ALPHA-INDUCED_PROTEIN_1,_ENDOTHELIAL_"	None	None	0.0089	-0.00034	0.01668	-0.00346	-0.00421	0.00686	0.01798	-0.01151	0.00315	0.00573	-0.00102	0.00607	0.00258	-0.00503	-0.0119	-0.00346	0.01142	-0.00894
1293191	None	ESTs_	None	None	-0.00496	-0.00645	0.00058	-0.00366	-0.00235	0.00266	0.00651	0.00443	-0.00702	-0.00443	-0.01216	0.00698	-0.00293	0.00309	-0.00201	-0.00396	-0.001	-0.00691
IMAGE:1007210	SEMG2_	semenogelin_II_	None	None	0.01029	0.00082	-0.00638	0.00396	-0.00275	-0.00834	0.00118	-0.00635	0.00508	-0.00511	0.00687	-0.00772	-0.00491	-0.01767	-0.01421	-0.00002	-0.01939	-0.01546
IMAGE:1009876	None	"Homo_sapiens_cDNA_FLJ30544_fis,_clone_BRAWH2001412_"	None	None	0.00762	0.00049	-0.01245	0.0048	-0.00947	-0.00598	0.00719	-0.00468	0.00163	-0.00206	0.00578	-0.00095	-0.00203	-0.00214	-0.00734	-0.01293	-0.0174	-0.01296
