YORF	NAME	PROCESS	FUNCTION	MICROARRAY_CLASSIFICATION	TRADITIONAL_CLASSIFICATION	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
YAL003W	EFB1	protein_synthesis_elongation_	translation_elongation_factor_	None	None	-0.01636	-0.01661	0.01336	0.01657	0.00892	-0.0282	-0.01554	-0.04656	0.00458	0.00639	-0.01612	-0.01911	0.00902	0.03198	0.00369	-0.0247	-0.02543	-0.01847
YAL004W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00931	-0.01086	0.01871	0.0108	-0.03056	-0.01223	0.00297	-0.01887	-0.01441	-0.00589	-0.05276	-0.02898	0.01803	0.0208	0.04937	-0.00925	-0.00288	-0.00168
YAL007C	ERP2	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00885	-0.01213	0.01952	-0.01194	-0.03387	0.00883	-0.00619	0.00566	0.00081	-0.01389	-0.00974	-0.04113	0.00791	0.00596	0.02421	-0.01175	-0.00856	0.00992
YAL009W	SPO7	meiosis_	molecular_function_unknown_	None	None	-0.00781	-0.01069	0.00582	0.00246	-0.03546	-0.00069	-0.01338	0.01166	-0.00797	0.03164	0.03702	-0.0289	-0.00369	-0.0268	-0.00958	-0.01772	-0.01265	-0.02262
YAL010C	MDM10	mitochondrion_inheritance*_	molecular_function_unknown_	None	None	-0.00885	-0.01344	0.00434	0.0196	-0.00773	-0.01152	-0.02277	-0.01722	-0.01476	0.01172	-0.01887	-0.02676	0.00266	-0.01546	0.00237	-0.02189	-0.02537	-0.0165
YAL012W	CYS3	biological_process_unknown_	cystathionine-gamma-lyase_	None	None	-0.01278	-0.01516	-0.00763	0.02653	-0.0016	-0.02826	-0.01114	-0.04457	0.00729	-0.0083	-0.03279	-0.03738	-0.00295	-0.00973	0.01882	-0.00409	-0.01592	-0.01627
YAL016W	TPD3	protein_biosynthesis*_	protein_phosphatase_type_2A_	None	None	-0.01031	-0.00789	-0.00824	-0.00783	0.00639	0.00352	-0.0026	-0.00612	-0.00749	0.00752	0.00908	-0.00842	-0.0103	0.01111	-0.01439	-0.00472	0.00069	-0.00851
YAL019W	FUN30	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01624	-0.01504	0.01276	-0.00925	-0.01994	-0.01109	-0.00353	0.00735	-0.01941	0.00696	-0.00025	-0.01324	0.00012	-0.00176	-0.01372	0.0128	0.00734	0.01939
YAL021C	CCR4	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00999	-0.01193	0.0052	-0.00886	-0.02044	-0.00007	0.0062	-0.00063	-0.00421	0.00859	-0.00152	-0.02597	0.00896	-0.00335	-0.01165	0.00425	-0.00203	0.00499
YAL022C	FUN26	biological_process_unknown_	molecular_function_unknown_	G2/M	None	-0.01147	-0.00989	-0.01265	0.00649	0.00901	-0.01024	-0.03492	0.00764	-0.01744	0.00157	-0.00043	0.0119	0.00741	0.03028	-0.00754	-0.00617	0.01361	-0.02489
YAL023C	PMT2	O-linked_glycosylation_	dolichyl-phosphate-mannose--protein_mannosyltransferase_	None	None	-0.01048	-0.01064	0.00714	-0.02958	-0.01621	0.00253	0.01113	-0.01693	0.00563	-0.00209	0.00871	-0.01412	0.00843	-0.00803	-0.00741	0.00464	0.01321	0.01222
YAL025C	MAK16	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01095	-0.00718	-0.011	-0.00683	-0.02281	-0.01511	-0.00071	0.01059	-0.02638	0.00804	-0.00461	0.01035	0.01226	-0.0131	0.00078	-0.00002	0.00495	-0.01108
YAL026C	DRS2	post_Golgi_transport_	adenosinetriphosphatase*_	None	None	-0.01114	-0.01463	0.0074	0.02198	0.01497	-0.01839	-0.00399	-0.0617	-0.00124	0.00003	-0.00995	-0.03296	0.00056	-0.01208	0.00053	-0.00174	-0.01678	-0.01843
YAL028W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00016	-0.0028	0.03018	-0.01238	-0.03487	0.00134	0.01301	-0.01202	0.00359	0.00656	0.01641	-0.04287	0.0087	-0.02004	-0.00532	0.01129	0.00242	-0.03962
